Date,Spread
2020-01-02,3.049502956396904
2020-01-03,3.0500096587140133
2020-01-06,3.0513701583762693
2020-01-07,3.0487236098883543
2020-01-08,3.0456289963626046
2020-01-09,3.0436560092591627
2020-01-10,3.042573750893146
2020-01-13,3.039187046125598
2020-01-14,3.041790151356755
2020-01-15,3.043394863282971
2020-01-16,3.041067587589069
2020-01-17,3.039767746280002
2020-01-21,3.0387476451484092
2020-01-22,3.035749595186869
2020-01-23,3.0331300256538967
2020-01-24,3.028026452969787
2020-01-27,3.030473069755123
2020-01-28,3.0263974379441363
2020-01-29,3.024914793808887
2020-01-30,3.021730124986682
2020-01-31,3.0250447498334414
2020-02-03,3.0224813394593992
2020-02-04,3.017767560449471
2020-02-05,3.0251589232436653
2020-02-06,3.022753344614199
2020-02-07,3.0246294422357964
2020-02-10,3.022362155467326
2020-02-11,3.0256285171500217
2020-02-12,3.0237744270858715
2020-02-13,3.024119323502196
2020-02-14,3.022428637892213
2020-02-18,3.0228855438242115
2020-02-19,3.0190052472375846
2020-02-20,3.022153330190921
2020-02-21,3.029280119261269
2020-02-24,3.0278802640274485
2020-02-25,3.0226012248106686
2020-02-26,3.0169370255666315
2020-02-27,3.0118894343991918
2020-02-28,2.9956660106682227
2020-03-02,3.00362120171247
2020-03-03,3.00348305144628
2020-03-04,3.0153426952195757
2020-03-05,3.0045561957714315
2020-03-06,3.0044557090579316
2020-03-09,2.983547357255781
2020-03-10,2.9880670344940246
2020-03-11,2.9766221036562293
2020-03-12,2.9561129265892236
2020-03-13,2.96158052760881
2020-03-16,2.95141399278976
2020-03-17,2.9674889317063626
2020-03-18,2.9368246568352507
2020-03-19,2.9392687578239407
2020-03-20,2.9251985014226443
2020-03-23,2.903571928858279
2020-03-24,2.916846649273297
2020-03-25,2.9291581823335533
2020-03-26,2.9409194046594065
2020-03-27,2.9446741749000256
2020-03-30,2.945874426718678
2020-03-31,2.946097616846016
2020-04-01,2.937899110786746
2020-04-02,2.9459951102751267
2020-04-03,2.9444270241322053
2020-04-06,2.9459630324454107
2020-04-07,2.9523189843569453
2020-04-08,2.9638888738575435
2020-04-09,2.976921353468274
2020-04-13,2.965508748698483
2020-04-14,2.9644113838953725
2020-04-15,2.9592443282614163
2020-04-16,2.956505512230963
2020-04-17,2.9706067894786123
2020-04-20,2.965679692941455
2020-04-21,2.9674458670389208
2020-04-22,2.9608538923036494
2020-04-23,2.964565080525369
2020-04-24,2.9633024883109007
2020-04-27,2.969491735342124
2020-04-28,2.9740409976340625
2020-04-29,2.967274003767701
2020-04-30,2.9620022789758815
2020-05-01,2.958144762307555
2020-05-04,2.952498417504316
2020-05-05,2.9493235623256338
2020-05-06,2.9371301514427284
2020-05-07,2.935015215364821
2020-05-08,2.94015657551916
2020-05-11,2.934780774578912
2020-05-12,2.931114165656212
2020-05-13,2.927776368347549
2020-05-14,2.9303439474488977
2020-05-15,2.9300979413530444
2020-05-18,2.942000488417676
2020-05-19,2.934012768871615
2020-05-20,2.93330033035687
2020-05-21,2.935654524707796
2020-05-22,2.9338786847710168
2020-05-26,2.9459380777420905
2020-05-27,2.9561002439546566
2020-05-28,2.955698176953454
2020-05-29,2.95006852792418
2020-06-01,2.952468647911654
2020-06-02,2.9538199579791047
2020-06-03,2.959963555446459
2020-06-04,2.964298466463769
2020-06-05,2.971429792574248
2020-06-08,2.9788204332255126
2020-06-09,2.9696810573001278
2020-06-10,2.9522518670469338
2020-06-11,2.9383543866829633
2020-06-12,2.9412551412589387
2020-06-15,2.9407518278273947
2020-06-16,2.943570070619653
2020-06-17,2.9396507951294844
2020-06-18,2.9361804040645314
2020-06-19,2.9352478211914357
2020-06-22,2.9280984392626803
2020-06-23,2.9270593730962156
2020-06-24,2.9192859500184127
2020-06-25,2.9194322433832745
2020-06-26,2.9098090523672595
2020-06-29,2.9168138595434634
2020-06-30,2.915896996205189
2020-07-01,2.9208769955841873
2020-07-02,2.9218685470665897
2020-07-06,2.9248815814193376
2020-07-07,2.921707377142963
2020-07-08,2.915728436907125
2020-07-09,2.9075072558072326
2020-07-10,2.919040739736475
2020-07-13,2.9281152167518023
2020-07-14,2.931738958573649
2020-07-15,2.93618528183712
2020-07-16,2.942607690629402
2020-07-17,2.9409454960920116
2020-07-20,2.9289886216204666
2020-07-21,2.9383490857378587
2020-07-22,2.938373362810389
2020-07-23,2.9455876793758846
2020-07-24,2.9492945711704666
2020-07-27,2.943534233870935
2020-07-28,2.9467074403435634
2020-07-29,2.9454483190619243
2020-07-30,2.9381130000713642
2020-07-31,2.9278313557440208
2020-08-03,2.916774115278879
2020-08-04,2.917824802661358
2020-08-05,2.9208833101072287
2020-08-06,2.9183060974807318
2020-08-07,2.931711655540103
2020-08-10,2.937183495337218
2020-08-11,2.9426913040613973
2020-08-12,2.9396454895823987
2020-08-13,2.936034318774515
2020-08-14,2.9378691380201825
2020-08-17,2.934439225577884
2020-08-18,2.934246230335632
2020-08-19,2.9313985163595353
2020-08-20,2.924488047680093
2020-08-21,2.91992096868951
2020-08-24,2.9238288425527914
2020-08-25,2.9234221448778803
2020-08-26,2.917583881157554
2020-08-27,2.9202400179280454
2020-08-28,2.9191356322530737
2020-08-31,2.913258243296978
2020-09-01,2.9042722387990323
2020-09-02,2.913252110585309
2020-09-03,2.925549767882637
2020-09-04,2.9298074602443425
2020-09-08,2.936948174180967
2020-09-09,2.932121954718254
2020-09-10,2.931104725242638
2020-09-11,2.937859276508124
2020-09-14,2.934673857268789
2020-09-15,2.931291079212964
2020-09-16,2.939054833141568
2020-09-17,2.93744914267295
2020-09-18,2.9371873933444768
2020-09-21,2.9188507684194827
2020-09-22,2.9161131475025703
2020-09-23,2.9162049281507896
2020-09-24,2.9164354573021583
2020-09-25,2.913189144058326
2020-09-28,2.9153621720841967
2020-09-29,2.911969716166082
2020-09-30,2.9138129319513957
2020-10-01,2.9106348696420614
2020-10-02,2.9193024454907897
2020-10-05,2.919111272035728
2020-10-06,2.915615835328155
2020-10-07,2.918242357397715
2020-10-08,2.923797994509831
