Date,OFI,OFI_ZScore
2020-07-29,-882100.0,-0.09081261287934737
2020-07-30,-6800800.0,-1.163262712297963
2020-07-31,-1573600.0,-0.2283115066178288
2020-08-03,-4789300.0,-0.8239641354092975
2020-08-04,-3664000.0,-0.6057214153728251
2020-08-05,-1708400.0,-0.31600467624659995
2020-08-06,-1126900.0,-0.14594526884165265
2020-08-07,11242200.0,2.9129087445550974
2020-08-10,7677300.0,1.9413127267744017
2020-08-11,1429100.0,0.4267177535970647
2020-08-12,-5639900.0,-1.255096250500825
2020-08-13,-8756000.0,-1.9035786328442825
2020-08-14,1589600.0,0.48380175777524304
2020-08-17,-1626200.0,-0.24888432903231122
2020-08-18,-1655000.0,-0.25084935846932777
2020-08-19,1562900.0,0.4942290703461002
2020-08-20,-1857700.0,-0.29134279343026065
2020-08-21,-3100200.0,-0.5668418430655562
2020-08-24,-2461600.0,-0.40523568258345605
2020-08-25,-104400.0,0.1337792179712398
2020-08-26,-1431600.0,-0.17295321843221959
2020-08-27,9227600.0,2.160730524041562
2020-08-28,-3461700.0,-0.6434180039471196
2020-08-31,-10901700.0,-2.1545111652800757
2020-09-01,-3171500.0,-0.5350244011226613
2020-09-02,-5492200.0,-1.072071855199173
2020-09-03,9469400.0,2.160065196381425
2020-09-04,13283800.0,2.774022067228523
2020-09-08,11856500.0,2.318910522098199
2020-09-09,-4315100.0,-0.8532377865900043
2020-09-10,4311800.0,0.8123765855436674
2020-09-11,13487800.0,2.434316909737811
2020-09-14,-2932500.0,-0.6080971768948188
2020-09-15,-3642900.0,-0.7214447838155182
2020-09-16,2940700.0,0.48221204508690546
2020-09-17,4047700.0,0.666452597430232
2020-09-18,5671400.0,0.9475739836518479
2020-09-21,-17141000.0,-2.916599764228977
2020-09-22,-3688000.0,-0.6317834869443286
2020-09-23,1598700.0,0.2446569300640476
2020-09-24,-1594300.0,-0.2896808615402937
2020-09-25,-998500.0,-0.1971527260862715
2020-09-28,-1936000.0,-0.35906596072183583
2020-09-29,1805200.0,0.26317779328987745
2020-09-30,-1102700.0,-0.21607481481513713
2020-10-01,-2228800.0,-0.4024774817963765
2020-10-02,4215400.0,0.6620287300766461
2020-10-05,-2562700.0,-0.47707401757393586
2020-10-06,1085300.0,0.17166386477427378
2020-10-07,-1141200.0,-0.2180583085512001
2020-10-08,-5342700.0,-0.9411387852038603
2020-10-09,-163000.0,-0.03402766710450528
2020-10-12,-2946900.0,-0.5142904179935115
2020-10-13,4921800.0,0.828363898909062
2020-10-14,6328800.0,1.093524213889587
2020-10-15,1634800.0,0.2611153763312491
2020-10-16,420000.0,0.06322961881794914
2020-10-19,1320200.0,0.24191604878050468
2020-10-20,-3749400.0,-0.6585226152445623
2020-10-21,-1113200.0,-0.18176085873089995
2020-10-22,6077700.0,1.0701544344675356
2020-10-23,3887800.0,0.6575731377521185
2020-10-26,482400.0,0.04435789005242933
2020-10-27,-7524400.0,-1.3634784446531665
2020-10-28,-669800.0,-0.16111797554183363
2020-10-29,-714900.0,-0.17219282608589875
2020-10-30,107500.0,-0.02980866480883155
2020-11-02,-295100.0,-0.06948751368125844
2020-11-03,-618200.0,-0.10523234663756605
2020-11-04,-858500.0,-0.1430967463354765
2020-11-05,-539500.0,-0.10025786446886695
2020-11-06,-6786200.0,-1.2977481466720802
2020-11-09,16350800.0,2.8445624523069486
2020-11-10,4878700.0,0.7924563920978348
2020-11-11,-2982200.0,-0.5869140294322179
2020-11-12,-807800.0,-0.1977658088140382
2020-11-13,180500.0,-0.03004425521989782
2020-11-16,-1079600.0,-0.25843397783827443
2020-11-17,337000.0,-0.016715874785575718
2020-11-18,-261500.0,-0.12209325182860896
2020-11-19,861600.0,0.06982375050061117
2020-11-20,-136700.0,-0.08094291555584786
2020-11-23,-578700.0,-0.17017429300300205
