,GDX,GLD,IVV,KBE,QQQ,SPY,VDE,VGT,XLE,XLF
count,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0
mean,31.122995120353274,180.88359279662893,404.7777724031045,40.473917730661945,337.3443990079701,403.94526797296135,84.35222887575911,48.99551921504859,30.157105902988693,32.61976284897384
std,4.397830757669317,23.95121854337744,80.67037228980621,8.01183157872864,78.63819643392206,80.16799138480106,30.19325542516208,12.470177335265285,10.654852678909696,6.6805615021079765
min,17.635562896728516,138.0399932861328,204.0885467529297,19.448896408081055,162.978515625,204.418212890625,24.853818893432617,22.206789016723633,9.179079055786133,15.784937858581543
25%,28.096057891845703,166.4724998474121,359.0068588256836,34.78834915161133,282.0883483886719,358.42610931396484,57.27319049835205,40.81844902038574,20.436805248260498,29.540143489837646
50%,30.772668838500977,174.98999786376953,397.9630126953125,42.32861328125,326.6516876220703,397.250732421875,94.92074584960938,46.95484733581543,33.56255912780762,32.904184341430664
75%,34.0453577041626,185.07999801635742,438.98571014404297,45.59022331237793,379.4291458129883,438.1959991455078,110.89460182189941,54.92741775512695,39.52682590484619,36.19590377807617
max,43.2641716003418,257.5,597.7713623046875,60.06763458251953,533.3329467773438,595.5750732421875,129.87448120117188,80.35489654541016,46.03648376464844,49.98726272583008
