Final_Return,Max_Drawdown,Sharpe
0.513340552444642,-0.044761119632723445,2.1510677727143306
0.6294006195413262,-0.028268304351084295,2.6153976746455574
0.3871874061823306,-0.03939451833905194,1.618256641266734
0.572589717938874,-0.03402544670656349,2.505461602845264
0.5091879038871201,-0.033713341295459665,2.175975555929249
0.5703943745879358,-0.0420379798793679,2.318855807275524
0.5134606923745775,-0.04360525294479453,2.1447935251163863
0.6368799248389835,-0.03354959305964972,2.704548716210146
0.4802058969990329,-0.04849689012333225,1.9391046004892762
0.3992423843400641,-0.04035240816002972,1.6646629220721525
0.5651472906356343,-0.024192799309200444,2.4563614853137823
0.5601832452386526,-0.035379239487869585,2.1888087332561357
0.4808467210090792,-0.06019081857623809,2.0020238725793136
0.5697256375073838,-0.03751828966430509,2.2960438840505435
0.7405369967012368,-0.027805209934875008,2.906534057146864
0.36497068045065384,-0.06706028626683946,1.5136480109906318
0.5273136204009087,-0.041410860493305224,2.2174718453542606
0.3870053013682283,-0.04391392034858811,1.7594290972376618
0.17820422952221915,-0.08608969521254063,0.7781412989756071
0.40398261405750624,-0.030648521036750864,1.845518120652792
0.46640358112785135,-0.039847860871254304,2.1100039358012705
0.5433312514519387,-0.05424892129368977,2.252036183710715
0.42639710452220425,-0.07302857177288806,1.726347014329636
0.6543022360128665,-0.029394928490588973,2.7000719231422328
0.42989706549024237,-0.051781800881244566,1.8775457957097117
0.45469487079741455,-0.05632043352395005,1.9323158506973361
0.371215907415208,-0.07763581924342704,1.6487372580975086
0.65747209413617,-0.029281101657698372,2.6195364620735146
0.3934731023009591,-0.0317091576067701,1.7021906885038687
0.5643207776945411,-0.0272899211608746,2.5062261657079876
0.3288554416129664,-0.059063218714704546,1.3698059199143766
0.4482365821016744,-0.03586762253866421,1.878602017159101
0.3938793911848637,-0.05428679828274389,1.6631896054638229
0.6516603552407859,-0.04568009573033632,2.7599286240271463
0.581661847481598,-0.022791043186646542,2.6024831345263837
0.4242815804257033,-0.04893812967803449,1.7643021367263363
0.34116783417567453,-0.05052680674606102,1.5250929974831622
0.4774527750777633,-0.03352181474443239,1.9938827510171004
0.6093529381540943,-0.038553866471566556,2.495583481508733
0.3876761800236491,-0.058521875333917665,1.680950350358069
0.493494621964039,-0.02890359600211373,2.172407277191118
