Date,ZScore
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,-1.6348015720661628
2020-03-30,-1.5422974545949775
2020-03-31,-1.4801356603843174
2020-04-01,-1.623888370299404
2020-04-02,-1.3701404082963005
2020-04-03,-1.3603642501997597
2020-04-06,-1.277001355579948
2020-04-07,-1.0820522121102245
2020-04-08,-0.7659011593326076
2020-04-09,-0.4162660470644583
2020-04-13,-0.6796360097860755
2020-04-14,-0.6816449685555493
2020-04-15,-0.7874141857283625
2020-04-16,-0.8301618373696543
2020-04-17,-0.435671272129451
2020-04-20,-0.5427530125884565
2020-04-21,-0.47238650785792935
2020-04-22,-0.6262909447183165
2020-04-23,-0.5010078200392073
2020-04-24,-0.5125001666812835
2020-04-27,-0.3180403731417402
2020-04-28,-0.16757518488926262
2020-04-29,-0.33924066462577995
2020-04-30,-0.46949771082113073
2020-05-01,-0.5574906035371854
2020-05-04,-0.6987096777917069
2020-05-05,-0.7669525974943555
2020-05-06,-1.1040684183305771
2020-05-07,-1.1358940693351511
2020-05-08,-0.9472950332113821
2020-05-11,-1.086529879475052
2020-05-12,-1.171879366115571
2020-05-13,-1.2480733495773457
2020-05-14,-1.132912747147794
2020-05-15,-1.115043308944157
2020-05-18,-0.6853513049037985
2020-05-19,-0.9570421893636261
2020-05-20,-0.9682363679579252
2020-05-21,-0.8580932063021901
2020-05-22,-0.9118813212121925
2020-05-26,-0.3748631666184364
2020-05-27,0.10499330530949012
2020-05-28,0.1285346449647534
2020-05-29,-0.09372134912311657
2020-06-01,0.07919538298035518
2020-06-02,0.21632693212454956
2020-06-03,0.6245758281101441
2020-06-04,0.954339066302204
2020-06-05,1.4292534708098348
2020-06-08,1.830177785565974
2020-06-09,1.237000929407434
2020-06-10,0.15057772938226197
2020-06-11,-0.6890686248677886
2020-06-12,-0.5134559638818109
2020-06-15,-0.5471653419750875
2020-06-16,-0.3965992044471447
2020-06-17,-0.74168574969289
2020-06-18,-1.0447151938135135
2020-06-19,-1.1305217802893672
2020-06-22,-1.6057893957112437
2020-06-23,-1.6234343039500156
2020-06-24,-2.058324381940642
2020-06-25,-1.9521567651913703
2020-06-26,-2.4276848732505933
2020-06-29,-1.901064060078334
2020-06-30,-1.869569753777714
2020-07-01,-1.5235041853271822
2020-07-02,-1.413760365282017
2020-07-06,-1.202116128246832
2020-07-07,-1.3415687712204194
2020-07-08,-1.6133345652991031
2020-07-09,-1.9713739644688164
2020-07-10,-1.2953121520976558
2020-07-13,-0.7788292891028135
2020-07-14,-0.5578240613902912
2020-07-15,-0.2905328967799348
2020-07-16,0.09227821008127508
2020-07-17,0.01691589099752642
2020-07-20,-0.6438831759888225
2020-07-21,-0.07642036905300059
2020-07-22,-0.045570324372544026
2020-07-23,0.4381872496244845
2020-07-24,0.7084597608581251
2020-07-27,0.36251868389458697
2020-07-28,0.5918219505225444
2020-07-29,0.5186369580113342
2020-07-30,0.03826540525798772
2020-07-31,-0.6437953712311602
2020-08-03,-1.346659906156423
2020-08-04,-1.2361704622874874
2020-08-05,-1.0119615234169501
2020-08-06,-1.153066142248209
2020-08-07,-0.29736089988276704
2020-08-10,0.04721994340245455
2020-08-11,0.38837301802145113
2020-08-12,0.19490772754394076
2020-08-13,-0.039966020561817084
2020-08-14,0.07340999791760239
2020-08-17,-0.14640641881287045
2020-08-18,-0.15925382020935214
2020-08-19,-0.32792049612879864
2020-08-20,-0.7472038825998316
2020-08-21,-1.0117737543831162
2020-08-24,-0.7293882118128446
2020-08-25,-0.7294025423632184
2020-08-26,-1.0808541521826982
2020-08-27,-0.8774956996501894
2020-08-28,-0.9311974083652615
2020-08-31,-1.3452657439682347
2020-09-01,-2.0785550665301082
2020-09-02,-1.3872279428488734
2020-09-03,-0.2928338573922857
2020-09-04,0.10262960562939552
2020-09-08,0.7586116445771222
2020-09-09,0.33639240899485207
2020-09-10,0.26642162664305946
2020-09-11,0.9015340015460305
2020-09-14,0.6070119944110385
2020-09-15,0.297268677044876
2020-09-16,1.0006764085235993
2020-09-17,0.8301458126438227
2020-09-18,0.7790916438261748
2020-09-21,-0.9186072934495234
2020-09-22,-1.199398281510848
2020-09-23,-1.1884810883890429
2020-09-24,-1.168878616366031
2020-09-25,-1.4424652284076749
2020-09-28,-1.219339343807092
2020-09-29,-1.483728114266724
2020-09-30,-1.2908467259886354
2020-10-01,-1.5506682943632677
2020-10-02,-0.822428531360434
2020-10-05,-0.8398873899094534
2020-10-06,-1.1245150092472207
2020-10-07,-0.8647552325740739
2020-10-08,-0.3538332915427748
2020-10-09,-0.7106875713421011
2020-10-12,-0.966869022250771
2020-10-13,-1.1772333046909387
2020-10-14,-1.30064567926506
2020-10-15,-1.1098361332843745
2020-10-16,-0.9408583101481857
2020-10-19,-1.2033594112225663
2020-10-20,-0.90252482122813
2020-10-21,-0.8003129605401267
2020-10-22,0.10770068207809579
2020-10-23,0.5096075796823474
2020-10-26,0.3520271921593386
2020-10-27,-0.3797038601279379
2020-10-28,-0.681286010718672
2020-10-29,-0.7777224765510081
2020-10-30,-0.04278710626394042
2020-11-02,0.976592775103699
2020-11-03,1.3718986372671262
2020-11-04,0.5379989991896508
2020-11-05,0.019715667917186753
2020-11-06,-0.37127288633267835
2020-11-09,1.9637821475247772
2020-11-10,3.3164566613394855
2020-11-11,2.042111626307183
2020-11-12,1.6458156442381628
2020-11-13,2.24135638478644
2020-11-16,2.495725934638206
2020-11-17,2.1158484168239657
2020-11-18,1.6983705380260452
2020-11-19,1.2779451484962006
2020-11-20,1.199014366520488
2020-11-23,1.5827793621666373
2020-11-24,2.014650440276084
2020-11-25,1.568925113905741
