Date,Beta,Alpha
2020-01-02,1.2320073837516388,1.2320073837516388
2020-01-03,1.2637448497261032,1.2637098933544744
2020-01-06,1.2747169103511085,1.274646413411137
2020-01-07,1.2801403263077678,1.2800351464490953
2020-01-08,1.2830496119573107,1.282913651048239
2020-01-09,1.2847126906645119,1.2845505082313056
2020-01-10,1.2859059313937267,1.2857176943231108
2020-01-13,1.2865114811173743,1.286305721305009
2020-01-14,1.287122712759502,1.2868945081881793
2020-01-15,1.2876424647080211,1.2873906783220024
2020-01-16,1.2878690778140482,1.2876048275634489
2020-01-17,1.2879718445694428,1.2877008921895021
2020-01-21,1.288054041066719,1.2877768496649638
2020-01-22,1.2880344330252294,1.2877589535712182
2020-01-23,1.2879309637538157,1.287665754992706
2020-01-24,1.2878005454371821,1.2875498526931162
2020-01-27,1.287908485474787,1.287644528929509
2020-01-28,1.2878063787883531,1.2875563722342631
2020-01-29,1.287686297268058,1.2874542801995046
2020-01-30,1.2874790157203724,1.2872809066324304
2020-01-31,1.2875155985681246,1.287311072099708
2020-02-03,1.2874359986983448,1.287246577784904
2020-02-04,1.2871401655775208,1.2870114333267126
2020-02-05,1.2869273462543296,1.2868452445658025
2020-02-06,1.2866528689744734,1.286634807453947
2020-02-07,1.2864754766410964,1.2865010651507118
2020-02-10,1.2862119100121454,1.2863061710615098
2020-02-11,1.2860126489093597,1.2861614408520567
2020-02-12,1.28574560809399,1.2859712530577876
2020-02-13,1.2855099327910056,1.2858064049705076
2020-02-14,1.28524785391936,1.2856265348339093
2020-02-18,1.28502539613998,1.285476552012398
2020-02-19,1.284714954783856,1.2852714467593918
2020-02-20,1.2845032328027457,1.2851338787943636
2020-02-21,1.2844917334156494,1.2851265108905452
2020-02-24,1.2846779410713765,1.2852446692943669
2020-02-25,1.2849625969292826,1.2854233269676887
2020-02-26,1.2851676956143376,1.2855497273162375
2020-02-27,1.2855704399339116,1.2857967360323628
2020-02-28,1.2857596506022193,1.2859105469195005
2020-03-02,1.285769788382797,1.2859164628949418
2020-03-03,1.285957584174132,1.2860253033353748
2020-03-04,1.2860589299219507,1.2860824294373498
2020-03-05,1.2862057444815258,1.2861645953629925
2020-03-06,1.2864471079173818,1.2862983836128512
2020-03-09,1.2868553386186021,1.2865268959625258
2020-03-10,1.2870079128796827,1.2866092832410143
2020-03-11,1.2872775290841132,1.2867551051581536
2020-03-12,1.2878153974921505,1.2870526057969305
2020-03-13,1.2879145866073076,1.2871045944134074
2020-03-16,1.2885646988234345,1.287459807226876
2020-03-17,1.2890835293002736,1.2877327596064663
2020-03-18,1.289462852832064,1.2879323557043318
2020-03-19,1.289845117927584,1.2881306349263457
2020-03-20,1.2902715851852438,1.288352879422147
2020-03-23,1.2905340486059453,1.2884884152783986
2020-03-24,1.290457453838459,1.2884511038433866
2020-03-25,1.2904931761758416,1.288468289394473
2020-03-26,1.2903528634433064,1.2884034692526025
2020-03-27,1.2904652416636988,1.288455939062412
2020-03-30,1.2904024337060402,1.2884275046806977
2020-03-31,1.2904374513247394,1.2884433452028998
2020-04-01,1.2906209553343704,1.2885275905981823
2020-04-02,1.2907830901141537,1.288600457616811
2020-04-03,1.291000449550606,1.2886980053182633
2020-04-06,1.290840091022745,1.2886299835986073
2020-04-07,1.290781197333815,1.2886051290606422
2020-04-08,1.29069646751862,1.288570286255062
2020-04-09,1.2907256626933181,1.2885821689989734
2020-04-13,1.2906358699276324,1.2885459871989693
2020-04-14,1.290344361644506,1.2884323699601754
2020-04-15,1.2901223089778184,1.288345292465225
2020-04-16,1.2898318307087506,1.2882330311947099
2020-04-17,1.289606740848597,1.2881476071607385
2020-04-20,1.2894250971854815,1.2880783848865416
2020-04-21,1.2894675366775632,1.2880949149893721
2020-04-22,1.2892686149744037,1.2880200005212876
2020-04-23,1.2891363753641434,1.287970355346928
2020-04-24,1.2889023529036958,1.2878843209048285
2020-04-27,1.288679829529821,1.2878037093154753
2020-04-28,1.2885702275070934,1.2877638570855585
2020-04-29,1.2881954030406426,1.2876326879946844
2020-04-30,1.2878152947706833,1.2874997095860168
2020-05-01,1.287555631266072,1.2874072064825788
2020-05-04,1.2871921482482693,1.2872796954056474
2020-05-05,1.286735777807996,1.2871224247242496
