Date,Spread
2020-01-02,0.28048979970992693
2020-01-03,0.14675108853231045
2020-01-06,0.09842423045202064
2020-01-07,0.07209121410449981
2020-01-08,0.050982102912283445
2020-01-09,0.036074529000786226
2020-01-10,0.03086375101048522
2020-01-13,0.018074547029629073
2020-01-14,0.02071017786258933
2020-01-15,0.019624834229549748
2020-01-16,0.009381122941909403
2020-01-17,0.004624484858816613
2020-01-21,0.00399157396237948
2020-01-22,-0.0010180948550595481
2020-01-23,-0.0057051122001234855
2020-01-24,-0.007611065019213603
2020-01-27,0.006662233214364877
2020-01-28,-0.006561345775709659
2020-01-29,-0.008040834517642592
2020-01-30,-0.014386582704074335
2020-01-31,0.0026468145267968257
2020-02-03,-0.0059224613343991095
2020-02-04,-0.022506217310583443
2020-02-05,-0.016613245194625703
2020-02-06,-0.021919702151733222
2020-02-07,-0.01452970338984283
2020-02-10,-0.021970851500544564
2020-02-11,-0.016942372518208293
2020-02-12,-0.023046110803025766
2020-02-13,-0.02068687573800232
2020-02-14,-0.02332724685490728
2020-02-18,-0.020095945342861743
2020-02-19,-0.02831480153900201
2020-02-20,-0.019588342411375415
2020-02-21,-0.0010818406241954737
2020-02-24,0.017887148041291434
2020-02-25,0.027807109484219605
2020-02-26,0.020150912695248824
2020-02-27,0.040419439974979765
2020-02-28,0.019024128266510898
2020-03-02,0.0010083733801242722
2020-03-03,0.018972942042554175
2020-03-04,0.01015558301370878
2020-03-05,0.014910137645935517
2020-03-06,0.024745325878080315
2020-03-09,0.04299354960317725
2020-03-10,0.01577836406884514
2020-03-11,0.02835720218172444
2020-03-12,0.05850025704153117
2020-03-13,0.010419420856208506
2020-03-16,0.07160312105707312
2020-03-17,0.05593212098072842
2020-03-18,0.041312266451906776
2020-03-19,0.04154183350140728
2020-03-20,0.04691638970445422
2020-03-23,0.028896431505394338
2020-03-24,-0.008137514389107814
2020-03-25,0.0037928276805823113
2020-03-26,-0.014598283594822403
2020-03-27,0.011875830639992868
2020-03-30,-0.006550099224020833
2020-03-31,0.0036775160890816228
2020-04-01,0.01958884553595186
2020-04-02,0.017176556198282844
2020-04-03,0.02314148241798364
2020-04-06,-0.01658984972319022
2020-04-07,-0.006112443511367527
2020-04-08,-0.008714136636086556
2020-04-09,0.0030029242627427344
2020-04-13,-0.00923659346574146
2020-04-14,-0.029611664845865304
2020-04-15,-0.022756894775187497
2020-04-16,-0.029693559848938733
