Metric,Value
Annual Return,0.10169200981428052
Annual Volatility,0.04747430874856512
Sharpe,2.142042980612205
Sortino,2.4437999792215743
Calmar,3.2277562766468737
Max Drawdown,-0.03150547968879558
Profit Factor,1.7409227607536386
Skewness,1.0777309702842792
Kurtosis,7.83421452161318
