Date,ZScore
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,-0.1476786779280258
2020-03-30,-0.6317858847581953
2020-03-31,-0.2900690929189655
2020-04-01,0.365215902727183
2020-04-02,0.32267850566697553
2020-04-03,0.6057960741875554
2020-04-06,-1.0608414462686782
2020-04-07,-0.5877424999942887
2020-04-08,-0.6792534674648042
2020-04-09,-0.16247206356598617
2020-04-13,-0.6693638197758042
2020-04-14,-1.4908474442982975
2020-04-15,-1.1676555396078105
2020-04-16,-1.4093953518456959
2020-04-17,-1.1044595615230686
2020-04-20,-0.9157454880742376
2020-04-21,0.007239656963243841
2020-04-22,-0.9730182393107549
2020-04-23,-0.6925685766890228
2020-04-24,-1.0867272863734576
2020-04-27,-1.0266885982722194
2020-04-28,-0.5628650684133625
2020-04-29,-1.5615632525767302
2020-04-30,-1.5563937840366615
2020-05-01,-1.088752542978124
2020-05-04,-1.4607953347296516
2020-05-05,-1.74665834530315
2020-05-06,-2.145964425873545
2020-05-07,-2.3137447822946537
2020-05-08,-2.1948797241703426
2020-05-11,-2.264355481309204
2020-05-12,-1.8878576958260922
2020-05-13,-1.6010648728819288
2020-05-14,-1.5973103866059999
2020-05-15,-1.5760491260050806
2020-05-18,-1.4629414008168224
2020-05-19,-1.5179379657372307
2020-05-20,-1.7019486158802324
2020-05-21,-1.3574451953613595
2020-05-22,-1.3623627298268208
2020-05-26,-0.967805573075548
2020-05-27,-0.7103183702575868
2020-05-28,-0.6336810621199106
2020-05-29,-0.8735820530986166
2020-06-01,-0.7807842068725594
2020-06-02,-0.7884677640635994
2020-06-03,-0.6777854746203481
2020-06-04,-0.372283893733937
2020-06-05,-0.44053355466801913
2020-06-08,-0.25615982377069796
2020-06-09,-0.4892385525772616
2020-06-10,-1.1446032931414452
2020-06-11,-0.6039181564176316
2020-06-12,-0.6277837204085662
2020-06-15,-0.7704814886305694
2020-06-16,-0.9562917885818452
2020-06-17,-0.9911899374180602
2020-06-18,-1.104616043581679
2020-06-19,-0.8985675393223638
2020-06-22,-1.384390491471798
2020-06-23,-1.408580516675014
2020-06-24,-1.1345621284318912
2020-06-25,-1.2467906011364494
2020-06-26,-1.1517304468098748
2020-06-29,-0.9504915673269684
2020-06-30,-1.271299172203813
2020-07-01,-0.9439151103752882
2020-07-02,-0.8828978358589606
2020-07-06,-0.9578879446320427
2020-07-07,-0.7600601909839276
2020-07-08,-1.3325536389961754
2020-07-09,-1.6411696652102858
2020-07-10,-0.8248485481310555
2020-07-13,0.3540298489404448
2020-07-14,0.3570861860380405
2020-07-15,0.5568894614187722
2020-07-16,1.451330588894027
2020-07-17,1.2833793086567655
2020-07-20,-0.05209688012998708
2020-07-21,0.9832644326938595
2020-07-22,0.8926446764744589
2020-07-23,2.3162933371827816
2020-07-24,2.8174673285312393
2020-07-27,1.904418097760858
2020-07-28,2.421325324106156
2020-07-29,1.8339800739841579
2020-07-30,1.2795353185531062
2020-07-31,0.10152547900615866
2020-08-03,-1.0634067004769714
2020-08-04,-0.9398164990746514
2020-08-05,-0.7518029718561658
2020-08-06,-1.0810098569933244
2020-08-07,0.2968466214127391
2020-08-10,0.7845872208364285
2020-08-11,1.6104354743109544
2020-08-12,0.877231026038153
2020-08-13,0.6614521037641458
2020-08-14,0.8851084873575675
2020-08-17,0.515599760486391
2020-08-18,0.4927136965350014
2020-08-19,0.4514077755003276
2020-08-20,-0.1876409432614656
2020-08-21,-0.5928956215230384
2020-08-24,-0.44602094386368063
2020-08-25,-0.4588825908828731
2020-08-26,-1.1755639080283868
2020-08-27,-0.830448163224712
2020-08-28,-0.969614947600413
2020-08-31,-1.1891871898338138
2020-09-01,-2.0355065130267764
2020-09-02,-1.4757961421402053
2020-09-03,0.8402992493814258
2020-09-04,1.4945688442240581
2020-09-08,2.7587853130194366
2020-09-09,1.73340158752439
2020-09-10,2.0639014402747207
2020-09-11,2.3851185644445723
2020-09-14,1.731689975511491
2020-09-15,1.3372279660916768
2020-09-16,1.891552451698426
2020-09-17,1.9066532499143745
2020-09-18,2.055637855625431
2020-09-21,1.122816602174681
2020-09-22,0.713884901223873
2020-09-23,1.2595914996759185
2020-09-24,1.187407533239078
2020-09-25,0.6032318575352316
2020-09-28,0.37180162139937556
2020-09-29,0.31141750353636205
2020-09-30,0.2758358939417082
2020-10-01,-0.05982651440729144
2020-10-02,0.7731379610969279
2020-10-05,0.33514048345238273
2020-10-06,0.488849151183634
2020-10-07,0.2606621271745948
2020-10-08,0.44679518873301594
2020-10-09,-0.019919047378768682
2020-10-12,-0.5723188087138342
2020-10-13,-0.520744398064158
2020-10-14,-0.4091529972260811
2020-10-15,-0.18904572869386593
2020-10-16,0.017071704693493547
2020-10-19,0.25972044188120524
2020-10-20,0.41398267999425625
2020-10-21,0.5758758219519726
2020-10-22,1.0619900748630997
2020-10-23,1.2185217280260157
2020-10-26,1.5286434048410398
2020-10-27,1.116519662238512
2020-10-28,1.7312120289274042
2020-10-29,1.3582528935441471
2020-10-30,2.0155502454862027
2020-11-02,2.216487114234798
2020-11-03,1.898908315276039
2020-11-04,0.8343340832934039
2020-11-05,0.08518768745241796
2020-11-06,-0.11039540063525558
2020-11-09,0.8959965313037771
2020-11-10,1.765243955528324
2020-11-11,0.8533447662712652
2020-11-12,0.832636335283691
2020-11-13,0.9474545315773848
2020-11-16,0.9243042196939928
2020-11-17,0.8354910289064508
2020-11-18,0.8379898154768309
2020-11-19,0.4447508358737743
2020-11-20,0.5618359239909054
2020-11-23,0.7622143247134009
2020-11-24,0.801077424251275
2020-11-25,0.45713896516897723
2020-11-27,0.09835609540629861
2020-11-30,-0.616205055037899
