Date,GDX,GLD,IVV,KBE,QQQ,SPY,VDE,VGT,XLE,XLF
2020-04-08,17480200,7600800,5987700,2529500,45940400,153774500,1830000,8487200,83811600,80003400
2020-04-09,68549100,18123000,11460300,3101100,68252600,189999200,3359100,13693600,182655200,147845500
2020-04-13,59888600,20549200,7569700,2608800,42853900,114839100,2038400,8109600,67685600,66236300
2020-04-14,59359900,17095100,8106500,3053400,63959600,134143400,1740100,12955200,72648200,96169000
2020-04-15,31917300,12141900,6012100,1570500,47036000,121775000,1394400,7295200,73421000,63482000
2020-04-16,37982800,9233200,6360000,5952900,64657400,131798300,1450700,10008800,64605800,68907600
2020-04-17,29249500,14652700,7982800,5441500,62863200,146684800,1870300,8070400,91706800,88698600
2020-04-20,25488800,10688700,5692100,2901500,38249100,100109300,4538300,10504000,112790000,59063100
2020-04-21,22464500,12478100,8689400,2962200,72932800,126385700,2528300,8400000,120861600,71957900
2020-04-22,40919900,12902100,7196100,2040600,40089100,92951600,2718400,5391200,73753200,47507800
2020-04-23,56325900,14928500,7300700,2967700,43278500,104709700,2551500,4806400,83207200,71740200
2020-04-24,40571500,11199300,5011300,2593400,34231900,85063200,1893800,6852800,64859200,33825300
2020-04-27,30455600,9033500,5334600,3166100,36451700,77896600,1585600,7088000,46576000,109435100
2020-04-28,31629700,10383000,6904700,2960600,46862800,105270000,1717300,6744800,59138000,46452300
2020-04-29,36914000,12232300,7104800,3690900,48716400,118745600,2350400,7587200,71075000,70064400
2020-04-30,52248800,13633500,11243800,4672600,43359500,122901700,1697900,6699200,84040200,56745700
2020-05-01,34003000,10914300,6341200,3099000,48795000,125180000,1922500,7437600,58531800,37534300
2020-05-04,34391400,7986200,4756600,3112800,32841000,80873200,1411300,4998400,52780400,50177200
2020-05-05,30289700,10563100,5939700,2909900,37783100,79569900,1521300,7199200,68733400,65123000
2020-05-06,29078400,13352000,3434800,2383600,36455200,73632600,1474900,5696000,47350200,63738400
2020-05-07,35053600,13691700,3779000,2576000,38624800,75250400,770400,6497600,48469400,61339000
2020-05-08,28612000,12240900,4342000,1876100,31852300,76452400,1498400,6192800,49646200,42218300
2020-05-11,28732700,11209800,6128100,3249700,35714100,79514200,1460800,11072000,46531400,54994900
2020-05-12,20999600,10406000,4748800,4280200,41054100,95870800,1464500,28762400,56129000,62202700
2020-05-13,33290200,10950400,8599000,4739900,65521200,144721100,1462500,9308000,68994800,86848300
2020-05-14,33736200,17084400,8721000,7245500,51549300,121977900,770700,6398400,61968400,103763100
2020-05-15,38465800,13918800,7109700,2864500,55747200,111146300,983100,5322400,54427800,70285000
2020-05-18,33131200,14133800,6010600,4497100,42398100,119703800,2272900,7204000,73139600,79548500
2020-05-19,36737200,8535800,5323900,2759700,36237300,95189300,1986300,5676800,53940600,56673200
2020-05-20,30058100,10666100,3890100,4108700,37417000,85861700,1299800,5672000,54521200,50402600
2020-05-21,33179400,11791000,3865500,2984400,43642900,78293900,1805400,5638400,56241800,49939900
2020-05-22,17987000,8540900,3699100,2150900,28762400,63958200,812900,4168800,38495000,37584500
2020-05-26,36174200,13972000,7299600,5312900,33055300,88951400,2076700,6104800,74888600,108349200
2020-05-27,43849100,13063500,6809200,5690200,55665600,104817400,1259600,6693600,71225600,121521200
2020-05-28,29917600,9758500,5877200,3562400,42784300,90405200,756800,5620000,54356800,101590100
2020-05-29,32726200,12581800,7085400,3458100,50691800,119090800,1272300,5908000,71500400,86969000
2020-06-01,24163900,8140200,6471000,1518800,25776000,55758300,789900,8140800,47680000,52619200
2020-06-02,39294200,10388900,3188000,1964400,33383400,74267200,950100,4565600,50318400,52572800
2020-06-03,40447600,17000500,4870400,4239400,37228700,92567600,1061300,5732800,54601800,77622900
2020-06-04,25889300,10094000,6997200,6006900,38716100,75794400,933700,5651200,54849400,97575100
2020-06-05,50291100,16021200,7160800,8275400,47365600,150524700,1477600,5710400,100393400,135859300
2020-06-08,21180400,9244400,3822900,7722600,32937300,73641200,1502900,11107200,95069400,80298400
2020-06-09,21745400,9045600,4326400,5328000,35046300,77479200,1521500,5110400,87399000,92833100
2020-06-10,46916400,13009300,6002800,5855600,58084400,95000800,1905200,5129600,80977000,110848900
2020-06-11,50214100,11673900,7901500,6661700,72919400,209243600,2147400,10707200,96304400,233116600
2020-06-12,29829000,6895400,7851700,6175000,72034800,194678900,951100,8929600,85635000,127502900
2020-06-15,32180400,8532500,6281200,5120300,45307400,135782700,1548100,5960000,65694800,92469500
2020-06-16,39596100,7964000,5248800,4098300,48890100,137627500,773300,8829600,64083800,108121300
2020-06-17,23882500,4758200,3532000,2485000,34749300,83398900,567700,4323200,46736000,56320900
2020-06-18,20130800,5397600,4008900,1987600,30578600,80828700,1447500,5334400,36937800,61206500
2020-06-19,37405000,12187400,3833900,7644800,49422100,135549600,581900,5104800,53934200,99903900
2020-06-22,46110300,12385600,4186200,3161400,24068700,74649400,666900,4426400,38896400,47929500
2020-06-23,28979200,12137300,3794900,5780700,32767400,68471200,644900,5562400,29611600,47218900
2020-06-24,37585800,10901400,5060800,4328200,46032400,132813500,1128900,7292800,64726000,90217500
2020-06-25,17938800,7093800,6432400,2642200,36940800,89468000,1969500,5039200,48034400,110208900
2020-06-26,29048400,9753500,4969000,6571800,52824600,127961000,962000,7037600,67722200,123959100
