Date,GDX,GLD,IVV,KBE,QQQ,SPY,VDE,VGT,XLE,XLF
2020-01-02,3.3047710536325248,4.9694659958580605,5.691888699735021,3.6786701213694024,5.337965307879674,5.69078279609877,4.1637039504637015,3.392343104814249,3.1436716593217624,3.315874696991778
2020-01-03,3.298619345098832,4.982647261740589,5.684167317579351,3.669128978091522,5.328763155363614,5.683181713994902,4.161511766456196,3.3817797396063365,3.140695935158742,3.3052001487216787
2020-01-06,3.300331905630056,4.993082130707601,5.688112342968332,3.6612153021165708,5.335185755076503,5.6869891150176795,4.170856851900391,3.3850978009644774,3.148447188274198,3.3045494340729946
2020-01-07,3.3098687263222977,4.997009558764109,5.685371225136278,3.65453674721492,5.335046475141773,5.6841736457185785,4.167347378322515,3.3849763911122905,3.1458153362324777,3.2980199496627027
2020-01-08,3.2701055796394964,4.989479756179474,5.6904473946941545,3.6622881939380205,5.342534494395332,5.689488912135874,4.1485018665223095,3.395466191749671,3.129206444082376,3.3045494340729946
2020-01-09,3.2591106597392745,4.983812071693118,5.697176535928717,3.667210049461903,5.350972442335671,5.696246521158478,4.154659651993214,3.4066381431345385,3.136548423850606,3.3107133237310804
2020-01-10,3.2736267273628625,4.9898201793099055,5.694398782142708,3.6562642719546834,5.3484119599925055,5.693364832888758,4.147141867865182,3.404461435130509,3.1308797435786038,3.303247083712707
2020-01-13,3.2494348366374326,4.9823730346060895,5.701374589419157,3.6631463447785264,5.359882707858482,5.7002187999469776,4.147636939214314,3.4177650174593333,3.131214101061843,3.3100662575173363
2020-01-14,3.266925954653792,4.981481093423446,5.699824763100813,3.664645313088643,5.355937565770728,5.698692945827933,4.148254967062352,3.412433408044533,3.131381404429665,3.3081226824685688
2020-01-15,3.285506615216922,4.987298382915881,5.702072130200899,3.651722421264136,5.3563464238103,5.700950200135322,4.141684574874966,3.4132584605007636,3.124001081863722,3.3025951666860744
2020-01-16,3.281329898709881,4.985727641703541,5.7103493056879175,3.6644311168197445,5.3658841015498,5.709234301897094,4.14218186981721,3.426872648714817,3.1256831906045024,3.3113603192929015
2020-01-17,3.2725716987359066,4.987571366989549,5.713653436512993,3.6669964019047034,5.370820762043994,5.712342030048692,4.1356962626148315,3.43278331227459,3.1192762539922803,3.3142646537014135
2020-01-21,3.2910487136749538,4.988662350720522,5.711492038982762,3.655400685398966,5.370372986875429,5.7103818462969835,4.113812237914059,3.431318095101726,3.1011836416367347,3.305850580093512
2020-01-22,3.287241760369897,4.989002948231235,5.71170238419293,3.6543203745128876,5.373012030490948,5.7105026011025775,4.104432023927567,3.4354370914540584,3.09149196640354,3.3087709373842853
2020-01-23,3.280980853099468,4.991248547106747,5.712933288018633,3.6538877848974654,5.376222876174556,5.71164899461314,4.0992548452214015,3.4403803995162923,3.0876583859386755,3.306175112830584
2020-01-24,3.300331905630056,4.997077100625524,5.703799666077438,3.6379707678584023,5.367772014944539,5.702716232593985,4.086981604902802,3.4352065486340715,3.0760691098143034,3.293423774593292
2020-01-27,3.295529099736389,5.0038792264685945,5.687435393514964,3.6202321617277518,5.346899989651061,5.686556608885233,4.057518389941011,3.411056785135177,3.0479487895218726,3.2778371846352923
2020-01-28,3.2686936125908503,4.994912358431977,5.6980294669107785,3.6289191616478798,5.362143358391825,5.696981445898658,4.063857183260086,3.429890020756969,3.052479850185623,3.2894672714684643
2020-01-29,3.2879351614314563,5.0003156069128085,5.697328894741387,3.618665167938464,5.3637673993558,5.6961546816426365,4.053043668804806,3.430894059038486,3.0419361828943297,3.2878142515136837
2020-01-30,3.2834204018193445,5.000382925853788,5.7003415027029725,3.6291408977840023,5.3673227298189445,5.699395219855982,4.05941079970163,3.4388502362238644,3.049945014936385,3.300310245075697
2020-01-31,3.2924294169150765,5.006158634330978,5.68240539689319,3.6087574929642328,5.351337825296933,5.681070443364488,4.029529106582856,3.4115681598666425,3.0182662305124293,3.279173316551974
2020-02-03,3.277485622447806,4.99964175673538,5.689556911848011,3.619784568331645,5.3663338907948726,5.688471563330743,4.01720933446861,3.4240403585364403,3.0050810799383316,3.286158137911099
2020-02-04,3.259467128718909,4.986547448548598,5.704949700897377,3.63422791015065,5.388964703541448,5.703597724518029,4.019460692714836,3.449853538042646,3.0086774117743262,3.295724538054071
2020-02-05,3.259467128718909,4.98777600411327,5.716019008513958,3.656911595885879,5.392256436911586,5.71507920445846,4.057247903922169,3.4545753508171684,3.045584357701369,3.315552812530007
2020-02-06,3.271867630954297,4.993149938347395,5.719841094805185,3.6471594502901072,5.400851396950394,5.718438745723684,4.0459513148152215,3.4625705408480223,3.035335263671438,3.3142646537014135
2020-02-07,3.2551799877368968,4.995792301798054,5.714402658491473,3.639069478235522,5.396541263328935,5.713094855182168,4.037153049725769,3.4531800085145297,3.028320481609077,3.3107133237310804
